fsqID,venueName,formattedAddress,catID,catName,catIDGroup,distance,rating,totalRatings,totalPhotos,totalTips,popularity,price,storeVerified,stationIndex
810968fcd2744594580e354f,Krispy Krunchy Chicken,"1905 Eureka Way, Redding, CA 96001",13145,Fast Food Restaurant,Dining and Drinking,712,,,,,0.04688445251058681,1.0,False,2
e0cc2da09c054ca134a7a380,Pasta Pronto,"2151 Market St, Redding, CA 96001",13064,Pizzeria,Dining and Drinking,745,,,,,0.46400483968542044,1.0,False,2
4b89b364f964a5200a4c32e3,Burger King,"2055 Eureka Way, Redding, CA 96001",13031,Burger Joint,Dining and Drinking,882,5.6,6.0,17.0,1.0,0.9757259528130672,1.0,True,2
5f6ffbdf2ced3145f09488f8,Chicken Shack - Eureka Way,"1970 Eureka Way, Redding, CA 96001",13055,Fried Chicken Joint,Dining and Drinking,817,,,,,0.9097852389594676,1.0,False,2
2e06545ac9f04f361f3e691e,Noteworthy Wines,"1267 Willis St, Redding, CA 96001",13387,Winery,Dining and Drinking,831,,,,,0.6359649122807017,,False,2
51105e64e4b0cb0bd885a8c9,Magnolia Park,"1614 Magnolia Ave, Redding, CA 96001",16026,Monument,Landmarks and Outdoors,1031,,,,,0.5274500907441017,,False,2
2adfc7970cec4603640c28e2,Old City Hall Arts Center,"1313 Market St, Redding, CA 96001",16026,Monument,Landmarks and Outdoors,211,,,,,,,False,2
3fafb4f24ea54fa28cadeac4,From The Hearth Bakery & Cafe,"1279 Pine St, Redding, CA 96001",13002,Bakery,Dining and Drinking,296,,,,,,,False,2
59692af407c9eae008601caf,Charlew's Tap House,"1177 Shasta St, Redding, CA 96001",13006,Beer Bar,Dining and Drinking,321,,,,,,,False,2
4c4c76ec712ac9281194606e,Caldwell Park,"56 Quartz Hill Rd, Redding, CA 96003",16032,Park,Landmarks and Outdoors,677,7.8,10.0,39.0,1.0,0.9912280701754386,,False,3
5a15e884ad178924230b2419,Diestelhorst Landing Trail Head,"Redding, CA 96003",16019,Hiking Trail,Landmarks and Outdoors,58,,,,,0.23139745916515425,,False,3
4c43c3bf2d3ec9b61d0f2eae,Subway,"1950 Eureka Way, Redding, CA 96001",13039,Deli,Dining and Drinking,963,6.3,5.0,5.0,1.0,0.9683151845130067,1.0,False,3
4c2a899d8ef52d7fa10e30ba,Carl's Jr.,"1800 Eureka Way, Redding, CA 96001",13145,Fast Food Restaurant,Dining and Drinking,991,6.2,2.0,13.0,0.0,0.9764821536600121,1.0,True,3
5013426ae4b06bc0bd58866a,Jump River Park,"56 Quartz Hill Rd, Redding, CA 96003",16037,Playground,Landmarks and Outdoors,731,,,,,0.8701603145795523,,False,3
4c25616f136d20a14694e361,Lake Redding Park,"2275 Benton Dr, Redding, CA 96003",16037,Playground,Landmarks and Outdoors,767,,,,,0.9818511796733213,,False,3
505d17e7e4b04d802adf880c,Fish Viewing Facility,"Redding, CA 96003",16043,River,Landmarks and Outdoors,859,,,,,0.691318814277072,,False,3
f93256115d821c6a00455e82,Pizza Guys,"2110 Eureka Way, Redding, CA 96001",13064,Pizzeria,Dining and Drinking,901,,,,,0.7018300060496068,1.0,False,3
4b89b364f964a5200a4c32e3,Burger King,"2055 Eureka Way, Redding, CA 96001",13031,Burger Joint,Dining and Drinking,990,5.6,6.0,17.0,1.0,0.9757259528130672,1.0,True,3
5f6ffbdf2ced3145f09488f8,Chicken Shack - Eureka Way,"1970 Eureka Way, Redding, CA 96001",13055,Fried Chicken Joint,Dining and Drinking,949,,,,,0.9097852389594676,1.0,False,3
d531b94db0d04a1701155d26,Camp Hope Shasta,"2280 Benton Dr, Redding, CA 96003",16008,Campground,Landmarks and Outdoors,146,,,,,,,False,3
4b8d9175f964a520850133e3,San Francisco Deli,"2395 Athens Ave (Locust), Redding, CA 96001",13039,Deli,Dining and Drinking,536,7.8,11.0,9.0,4.0,0.9416969147005445,1.0,False,4
4c6ac58a3bad2d7f8c43b3ee,Dutch Bros Coffee,"3025 S Market St (at Grange St), Redding, CA 96001",13032,"Cafe, Coffee, and Tea House",Dining and Drinking,694,7.8,9.0,15.0,3.0,0.9803387779794314,1.0,True,4
4c4f36617b9f76b0f797f26d,Country Waffles,"2300 Athens Ave (at South St), Redding, CA 96001",13068,American Restaurant,Dining and Drinking,587,7.0,10.0,11.0,8.0,0.9640048396854205,2.0,False,4
4b3189f1f964a520af0825e3,Yama Sushi,"40 Hartnell Ave, Redding, CA 96002",13276,Sushi Restaurant,Dining and Drinking,1004,6.8,14.0,26.0,11.0,0.9468390804597702,2.0,False,4
575e2041498e09d3e5b0d37e,Redding City Hall and Sculpture Park,"777 Cypress Ave (@ City Hall), Redding, CA 96001",16032,Park,Landmarks and Outdoors,90,,,,,0.934437386569873,,False,4
4d9ff070c41ca143fd273da3,The Tropics,"2555 S Market St, Redding, CA 96001",13010,Dive Bar,Dining and Drinking,291,,,,,0.9596944948578342,1.0,False,4
4db1a6fe0437a93f7f8de705,South City Park,"W Cypress Ave, Redding, California (pine), Redding, CA 96001",16037,Playground,Landmarks and Outdoors,368,,,,,0.5847701149425287,,False,4
5f36c1f3a58a76498be38bef,Los Cachorros Taqueria,"2425 Athens Ave, Redding, CA 96001",13303,Mexican Restaurant,Dining and Drinking,495,,,,,0.9586358136721113,1.0,False,4
528938c811d2b3568c7e7f42,Kaleidoscope Coffee Company,"2380 Athens Ave (at Locust St), Redding, CA 96001",13035,Coffee Shop,Dining and Drinking,510,,,,,0.9602994555353902,1.0,False,4
8450b912f6e64c1b18cd502c,Agana Tropics,"2555 S Market St, Redding, CA 96001",13003,Bar,Dining and Drinking,511,,,,,0.10450695704779189,2.0,False,4
4c5483c406901b8dddf0ed4b,Fast Weenies,"119 Locust St, Redding, CA 96001",13058,Hot Dog Joint,Dining and Drinking,582,,,,,0.9268753781004234,1.0,False,4
4c09b600ffb8c9b6777c6a61,Racha Noodle,"2630 S Market St, Redding, CA 96001",13315,Noodle Restaurant,Dining and Drinking,599,,,,,0.9606019358741682,2.0,False,4
5752c83f3f624b35e811b2fb,Shady Acres Mobile Home Park,"2700 S Market St, Redding, CA 96001",16008,Campground,Landmarks and Outdoors,666,,,,,0.7562008469449486,,False,4
e0cc2da09c054ca134a7a380,Pasta Pronto,"2151 Market St, Redding, CA 96001",13064,Pizzeria,Dining and Drinking,727,,,,,0.46400483968542044,1.0,False,4
7fe4f61bd37d48d4d0c087ff,Shasta Rock Club,"2325 Athens Ave, Redding, CA 96001",16044,Rock Climbing Spot,Landmarks and Outdoors,741,,,,,0.2191470054446461,,False,4
60e1eb9b54c46f68046bfcbe,Evergreen - Coffee Shop + Boutique Hotel,"2085 Pine St, Redding, CA 96001",13035,Coffee Shop,Dining and Drinking,784,,,,,0.9685420447670902,1.0,False,4
4e4195fc18a8540732f0acc0,Sublime Cake Design,"2633 Park Marina Dr, Redding, CA 96001",13002,Bakery,Dining and Drinking,857,,,,,0.9560647307924985,1.0,False,4
4e4d4fef62e1e5f467226e3b,Marina RV Park,"2615 Park Marina Dr, Redding, CA 96001",16008,Campground,Landmarks and Outdoors,881,,,,,0.9034331518451301,,False,4
5e35b39d927f370008489acd,Roots Juice Bar,"1950 Pine St, Redding, CA 96001",13000,Dining and Drinking,Dining and Drinking,939,,,,,0.9633998790078645,1.0,False,4
65a9c9ede0724622a03573df,Pourboys Tapyard,"2040 Waldon St, Redding, CA 96001",13006,Beer Bar,Dining and Drinking,991,,,,,0.9594676346037507,,False,4
d1c9f6f6be2b44e7fd22fe51,La Tour Demonstration Forest,"875 Cypress Ave, Redding, CA 96001",16032,Park,Landmarks and Outdoors,189,,,,,,,False,4
ec187df965fd4e6c697f5c64,Little Sprouts Urban Farm,"1022 State St, Redding, CA 96001",16014,Farm,Landmarks and Outdoors,400,,,,,,,False,4
c85bed600999432eca363c9e,Lucky Miller's Deli & Market,"2495 Athens Ave, Redding, CA 96001",13065,Restaurant,Dining and Drinking,460,,,,,,,False,4
